taxon_id,lookup_name,scientific_name,authorship,taxon_rank,family,genus,chinese_name
wcvp:517513,Stauntonia conspicua,Stauntonia conspicua,R.H.Chang,species,Lardizabalaceae,Stauntonia,显脉野木瓜
wcvp:518435,Utricularia intermedia,Utricularia intermedia,Hayne,species,Lentibulariaceae,Utricularia,异枝狸藻
wcvp:518462,Utricularia kumaonensis,Utricularia kumaonensis,Oliv.,species,Lentibulariaceae,Utricularia,毛籽挖耳草
wcvp:518482,Utricularia limosa,Utricularia limosa,R.Br.,species,Lentibulariaceae,Utricularia,长梗挖耳草
wcvp:518512,Utricularia macrorhiza,Utricularia macrorhiza,Leconte ex Torr.,species,Lentibulariaceae,Utricularia,弯距狸藻
wcvp:518523,Utricularia mangshanensis,Utricularia mangshanensis,G.W.Hu,species,Lentibulariaceae,Utricularia,莽山挖耳草
wcvp:518540,Utricularia minor,Utricularia minor,L.,species,Lentibulariaceae,Utricularia,细叶狸藻
wcvp:518549,Utricularia minutissima,Utricularia minutissima,Vahl,species,Lentibulariaceae,Utricularia,斜果挖耳草
wcvp:518562,Utricularia multicaulis,Utricularia multicaulis,Oliv.,species,Lentibulariaceae,Utricularia,多序挖耳草
wcvp:2999265,Vandellia yaoshanensis,Vandellia yaoshanensis,"(P.C.Tsoong) Eb.Fisch., Schäferh. & Kai Müll.",species,Linderniaceae,Vandellia,瑶山母草
wcvp:41677,Cleghornia malaccensis,Cleghornia malaccensis,(Hook.f.) King & Gamble,species,Apocynaceae,Cleghornia,金平藤
wcvp:41681,Cleidiocarpon cavaleriei,Cleidiocarpon cavaleriei,(H.Lév.) Airy Shaw,species,Euphorbiaceae,Cleidiocarpon,蝴蝶果
wcvp:518641,Utricularia peranomala,Utricularia peranomala,P.Taylor,species,Lentibulariaceae,Utricularia,合苞挖耳草
wcvp:41689,Cleidion bracteosum,Cleidion bracteosum,Gagnep.,species,Euphorbiaceae,Cleidion,灰岩棒柄花
wcvp:41690,Cleidion brevipetiolatum,Cleidion brevipetiolatum,Pax & K.Hoffm.,species,Euphorbiaceae,Cleidion,棒柄花
wcvp:518683,Utricularia punctata,Utricularia punctata,Wall. ex A.DC.,species,Lentibulariaceae,Utricularia,盾鳞狸藻
wcvp:518705,Utricularia recta,Utricularia recta,P.Taylor,species,Lentibulariaceae,Utricularia,尖萼挖耳草
wcvp:41852,Cleisostoma fuerstenbergianum,Cleisostoma fuerstenbergianum,Kraenzl.,species,Orchidaceae,Cleisostoma,长叶隔距兰
wcvp:518740,Utricularia salwinensis,Utricularia salwinensis,Hand.-Mazz.,species,Lentibulariaceae,Utricularia,怒江挖耳草
wcvp:518750,Utricularia scandens,Utricularia scandens,Benj.,species,Lentibulariaceae,Utricularia,缠绕挖耳草
wcvp:41884,Cleisostoma linearilobatum,Cleisostoma linearilobatum,(Seidenf. & Smitinand) Garay,species,Orchidaceae,Cleisostoma,隔距兰
wcvp:41887,Cleisostoma longioperculatum,Cleisostoma longioperculatum,Z.H.Tsi,species,Orchidaceae,Cleisostoma,长帽隔距兰
wcvp:518775,Utricularia smithiana,Utricularia smithiana,Wight,species,Lentibulariaceae,Utricularia,尖膨挖耳草
wcvp:518811,Utricularia striatula,Utricularia striatula,Sm.,species,Lentibulariaceae,Utricularia,圆叶挖耳草
wcvp:518859,Utricularia tricolor,Utricularia tricolor,A.St.-Hil.,species,Lentibulariaceae,Utricularia,三色挖耳草
wcvp:41956,Cleisostoma simondii,Cleisostoma simondii,(Gagnep.) Seidenf.,species,Orchidaceae,Cleisostoma,毛柱隔距兰
wcvp:518872,Utricularia uliginosa,Utricularia uliginosa,Vahl,species,Lentibulariaceae,Utricularia,齿萼挖耳草
wcvp:519076,Paeonia emodi,Paeonia emodi,Royle,species,Paeoniaceae,Paeonia,多花芍药
wcvp:519111,Paeonia intermedia,Paeonia intermedia,C.A.Mey.,species,Paeoniaceae,Paeonia,块根芍药
wcvp:519117,Paeonia jishanensis,Paeonia jishanensis,T.Hong & W.Z.Zhao,species,Paeoniaceae,Paeonia,矮牡丹
wcvp:519125,Paeonia lactiflora,Paeonia lactiflora,Pall.,species,Paeoniaceae,Paeonia,芍药
wcvp:519142,Paeonia ludlowii,Paeonia ludlowii,(Stern & G.Taylor) D.Y.Hong,species,Paeoniaceae,Paeonia,大花黄牡丹
wcvp:519152,Paeonia mairei,Paeonia mairei,H.Lév.,species,Paeoniaceae,Paeonia,美丽芍药
wcvp:519211,Paeonia obovata,Paeonia obovata,Maxim.,species,Paeoniaceae,Paeonia,草芍药
wcvp:519255,Paeonia ostii,Paeonia ostii,T.Hong & J.X.Zhang,species,Paeoniaceae,Paeonia,杨山牡丹
wcvp:519288,Paeonia qiui,Paeonia qiui,Y.L.Pei & D.Y.Hong,species,Paeoniaceae,Paeonia,卵叶牡丹
wcvp:519294,Paeonia rockii,Paeonia rockii,(S.G.Haw & Lauener) T.Hong & J.J.Li ex D.Y.Hong,species,Paeoniaceae,Paeonia,紫斑牡丹
wcvp:519318,Paeonia sterniana,Paeonia sterniana,H.R.Fletcher,species,Paeoniaceae,Paeonia,白花芍药
wcvp:519321,Paeonia suffruticosa,Paeonia × suffruticosa,Andrews,species,Paeoniaceae,Paeonia,牡丹
wcvp:519366,Paeonia veitchii,Paeonia veitchii,Lynch,species,Paeoniaceae,Paeonia,川赤芍
wcvp:519389,Paeonia yananensis,Paeonia × yananensis,T.Hong & M.R.Li,species,Paeoniaceae,Paeonia,延安牡丹
wcvp:519415,Illicium angustisepalum,Illicium angustisepalum,A.C.Sm.,species,Schisandraceae,Illicium,大屿八角
wcvp:519419,Illicium arborescens,Illicium arborescens,Hayata,species,Schisandraceae,Illicium,台湾八角
wcvp:519420,Illicium brevistylum,Illicium brevistylum,A.C.Sm.,species,Schisandraceae,Illicium,短柱八角
wcvp:519421,Illicium burmanicum,Illicium burmanicum,E.H.Wilson,species,Schisandraceae,Illicium,中缅八角
wcvp:519434,Illicium difengpi,Illicium difengpi,B.N.Chang,species,Schisandraceae,Illicium,地枫皮
wcvp:519435,Illicium dunnianum,Illicium dunnianum,Tutcher,species,Schisandraceae,Illicium,红花八角
wcvp:519446,Illicium griffithii,Illicium griffithii,Hook.f. & Thomson,species,Schisandraceae,Illicium,西藏八角
wcvp:519450,Illicium henryi,Illicium henryi,Diels,species,Schisandraceae,Illicium,红茴香
wcvp:519453,Illicium jiadifengpi,Illicium jiadifengpi,B.N.Chang,species,Schisandraceae,Illicium,假地枫皮
wcvp:519458,Illicium lanceolatum,Illicium lanceolatum,A.C.Sm.,species,Schisandraceae,Illicium,红毒茴
wcvp:519459,Illicium leiophyllum,Illicium leiophyllum,A.C.Sm.,species,Schisandraceae,Illicium,平滑叶八角
wcvp:519462,Illicium macranthum,Illicium macranthum,A.C.Sm.,species,Schisandraceae,Illicium,大花八角
wcvp:519463,Illicium majus,Illicium majus,Hook.f. & Thomson,species,Schisandraceae,Illicium,大八角
wcvp:41995,Cleisostoma williamsonii,Cleisostoma williamsonii,(Rchb.f.) Garay,species,Orchidaceae,Cleisostoma,红花隔距兰
wcvp:519466,Illicium merrillianum,Illicium merrillianum,A.C.Sm.,species,Schisandraceae,Illicium,滇西八角
wcvp:519468,Illicium micranthum,Illicium micranthum,Dunn,species,Schisandraceae,Illicium,小花八角
wcvp:519471,Illicium modestum,Illicium modestum,A.C.Sm.,species,Schisandraceae,Illicium,滇南八角
wcvp:519474,Illicium pachyphyllum,Illicium pachyphyllum,A.C.Sm.,species,Schisandraceae,Illicium,短梗八角
wcvp:519479,Illicium petelotii,Illicium petelotii,A.C.Sm.,species,Schisandraceae,Illicium,少果八角
wcvp:519480,Illicium philippinense,Illicium philippinense,Merr.,species,Schisandraceae,Illicium,白花八角
wcvp:519490,Illicium simonsii,Illicium simonsii,Maxim.,species,Schisandraceae,Illicium,野八角
wcvp:519496,Illicium tashiroi,Illicium tashiroi,Maxim.,species,Schisandraceae,Illicium,峦大八角
wcvp:519498,Illicium ternstroemioides,Illicium ternstroemioides,A.C.Sm.,species,Schisandraceae,Illicium,厚皮香八角
wcvp:519499,Illicium tsaii,Illicium tsaii,A.C.Sm.,species,Schisandraceae,Illicium,文山八角
wcvp:519502,Illicium verum,Illicium verum,Hook.f.,species,Schisandraceae,Illicium,八角
wcvp:519504,Illicium wardii,Illicium wardii,A.C.Sm.,species,Schisandraceae,Illicium,贡山八角
wcvp:519661,Apostasia fogangica,Apostasia fogangica,"Y.Y.Yin, P.S.Zhong & Z.J.Liu",species,Orchidaceae,Apostasia,佛冈拟兰
wcvp:519760,Bulbophyllum pingnanense,Bulbophyllum pingnanense,"J.F.Liu, S.R.Lan & Y.C.Liang",species,Orchidaceae,Bulbophyllum,屏南石豆兰
wcvp:519785,Aspidistra erythrocephala,Aspidistra erythrocephala,C.R.Lin & Y.Y.Liang,species,Asparagaceae,Aspidistra,红头蜘蛛抱蛋
wcvp:518890,Utricularia vitellina,Utricularia vitellina,Ridl.,species,Lentibulariaceae,Utricularia,黄花狸藻
wcvp:518894,Utricularia vulgaris,Utricularia vulgaris,L.,species,Lentibulariaceae,Utricularia,狸藻
wcvp:518917,Utricularia warburgii,Utricularia warburgii,Goebel,species,Lentibulariaceae,Utricularia,钩突挖耳草
wcvp:41987,Cleisostoma uraiense,Cleisostoma uraiense,(Hayata) Garay & H.R.Sweet,species,Orchidaceae,Cleisostoma,绿花隔距兰
wcvp:518966,Paeonia anomala,Paeonia anomala,L.,species,Paeoniaceae,Paeonia,窄叶芍药
wcvp:518988,Paeonia baokangensis,Paeonia × baokangensis,Z.L.Dai & T.Hong,species,Paeoniaceae,Paeonia,保康牡丹
wcvp:519003,Paeonia cathayana,Paeonia cathayana,D.Y.Hong & K.Y.Pan,species,Paeoniaceae,Paeonia,中原牡丹
wcvp:519054,Paeonia decomposita,Paeonia decomposita,Hand.-Mazz.,species,Paeoniaceae,Paeonia,四川牡丹
wcvp:519059,Paeonia delavayi,Paeonia delavayi,Franch.,species,Paeoniaceae,Paeonia,滇牡丹
wcvp:520227,Cryptolepis calophylla,Cryptolepis calophylla,(Baill.) L.Joubert & Bruyns,species,Apocynaceae,Cryptolepis,青蛇藤
wcvp:520237,Disporum xilingense,Disporum xilingense,X.X.Zhu & Lin Zhang,species,Colchicaceae,Disporum,西岭万寿竹
wcvp:520261,Carex concava,Carex concava,"H.B.Yang, Xiao X.Li & G.D.Liu",species,Cyperaceae,Carex,五指山薹草
wcvp:520299,Campanula hongii,Campanula hongii,Y.F.Deng,species,Campanulaceae,Campanula,长柱风铃草
wcvp:520370,Cheirostylis acuminata,Cheirostylis acuminata,Zhi L.Liu & Q.Liu,species,Orchidaceae,Cheirostylis,尖唇叉柱兰
wcvp:519791,Alpinia austrosinense,Alpinia austrosinense,(D.Fang) P.Zou & Y.S.Ye,species,Zingiberaceae,Alpinia,三叶山姜
wcvp:41998,Cleisostomopsis eberhardtii,Cleisostomopsis eberhardtii,(Finet) Seidenf.,species,Orchidaceae,Cleisostomopsis,拟隔距兰
wcvp:519831,Aspidistra yizhouensis,Aspidistra yizhouensis,B.Pan & C.R.Lin,species,Asparagaceae,Aspidistra,宜州蜘蛛抱蛋
wcvp:519973,Aspidistra ronganensis,Aspidistra ronganensis,"C.R.Lin, Jing Liu & W.B.Xu",species,Asparagaceae,Aspidistra,融安蜘蛛抱蛋
wcvp:519983,Amorphophallus bubenensis,Amorphophallus bubenensis,J.T.Yin & Hett.,species,Araceae,Amorphophallus,补蚌魔芋
wcvp:519988,Adenophora dawuensis,Adenophora dawuensis,D.Y.Hong,species,Campanulaceae,Adenophora,道孚沙参
wcvp:519989,Adenophora linearifolia,Adenophora linearifolia,D.Y.Hong,species,Campanulaceae,Adenophora,线叶沙参
wcvp:2633159,Amaranthus viridis,Amaranthus viridis,L.,species,Amaranthaceae,Amaranthus,皱果苋
wcvp:519997,Aspidistra revoluta,Aspidistra revoluta,"Hao Zhou, S.R.Yi & Q.Gao",species,Asparagaceae,Aspidistra,卷瓣蜘蛛抱蛋
wcvp:520015,Aspidistra sinensis,Aspidistra sinensis,Aver. & Tillich,species,Asparagaceae,Aspidistra,中国蜘蛛抱蛋
wcvp:520045,Begonia leipingensis,Begonia leipingensis,"D.K.Tian, Li H.Yang & Chun Li",species,Begoniaceae,Begonia,雷平秋海棠
wcvp:520142,Bulbophyllum tipula,Bulbophyllum tipula,Aver.,species,Orchidaceae,Bulbophyllum,秉滔卷瓣兰
wcvp:2999289,Vandellia delicatula,Vandellia delicatula,"(P.C.Tsoong & T.C.Ku) Eb.Fisch., Schäferh. & Kai Müll.",species,Linderniaceae,Vandellia,柔弱母草
wcvp:521274,Lobelia gaoligongshanica,Lobelia gaoligongshanica,D.Y.Hong,species,Campanulaceae,Lobelia,高黎贡山梗菜
wcvp:521281,Lobelia drungjiangensis,Lobelia drungjiangensis,D.Y.Hong,species,Campanulaceae,Lobelia,独龙江山梗菜
wcvp:521283,Lilium pardanthinum,Lilium pardanthinum,(Franch.) Y.D.Gao,species,Liliaceae,Lilium,豹子花
wcvp:521285,Lilium basilissum,Lilium basilissum,(Farrer ex W.E.Evans) Y.D.Gao,species,Liliaceae,Lilium,美丽豹子花
wcvp:521291,Lilium gongshanense,Lilium gongshanense,(Y.D.Gao & X.J.He) Y.D.Gao,species,Liliaceae,Lilium,贡山豹子花
wcvp:2329050,Justicia panduriformis,Justicia panduriformis,Benoist,species,Acanthaceae,Justicia,琴叶爵床
wcvp:520410,Cyananthus ligulosus,Cyananthus ligulosus,D.Y.Hong,species,Campanulaceae,Cyananthus,舌裂蓝钟花
wcvp:520426,Cynanchum pulchellum,Cynanchum pulchellum,(Wall.) Liede & Khanum,species,Apocynaceae,Cynanchum,大花藤
wcvp:520431,Calamagrostis gaoligongensis,Calamagrostis gaoligongensis,(Paszko) Paszko,species,Poaceae,Calamagrostis,高黎贡山野青茅
wcvp:520432,Calamagrostis sorengii,Calamagrostis sorengii,(Paszko & W.L.Chen) Paszko,species,Poaceae,Calamagrostis,左氏野青茅
wcvp:520433,Cynanchum rostellatum,Cynanchum rostellatum,(Turcz.) Liede & Khanum,species,Apocynaceae,Cynanchum,萝藦
wcvp:42729,Clerodendrum kaichianum,Clerodendrum kaichianum,P.S.Hsu,species,Lamiaceae,Clerodendrum,浙江大青
wcvp:520437,Cynanchum graphistemmatoides,Cynanchum graphistemmatoides,Liede & Khanum,species,Apocynaceae,Cynanchum,天星藤
wcvp:42737,Clerodendrum kiangsiense,Clerodendrum kiangsiense,Merr. ex H.L.Li,species,Lamiaceae,Clerodendrum,江西大青
wcvp:520438,Cynanchum hemsleyanum,Cynanchum hemsleyanum,(Oliv.) Liede & Khanum,species,Apocynaceae,Cynanchum,华萝藦
wcvp:520445,Cynanchum alternilobum,Cynanchum alternilobum,(M.G.Gilbert & P.T.Li) Liede & Khanum,species,Apocynaceae,Cynanchum,四川藤
wcvp:520458,Disporum sinovietnamicum,Disporum sinovietnamicum,R.C.Hu & Y.Feng Huang,species,Colchicaceae,Disporum,中越万寿竹
wcvp:42803,Clerodendrum luteopunctatum,Clerodendrum luteopunctatum,C.Pei & S.L.Chen,species,Lamiaceae,Clerodendrum,黄腺大青
wcvp:520468,Dienia shuicae,Dienia shuicae,(S.S.Ying) T.P.Lin,species,Orchidaceae,Dienia,寿卡无耳沼兰
wcvp:520491,Dendrobium luoi,Dendrobium luoi,L.J.Chen & W.H.Rao,species,Orchidaceae,Dendrobium,罗氏石斛
wcvp:42041,Cleistanthus concinnus,Cleistanthus concinnus,Croizat,species,Phyllanthaceae,Cleistanthus,东方闭花木
wcvp:520514,Dendrocalamus jinghongensis,Dendrocalamus jinghongensis,"P.Y.Wang, Y.X.Zhang & D.Z.Li",species,Poaceae,Dendrocalamus,景洪牡竹
wcvp:520533,Dendrobium zhenghuoense,Dendrobium zhenghuoense,"S.P.Chen, Liang Ma & M.He Li",species,Orchidaceae,Dendrobium,政和石斛
wcvp:520566,Dendrocalamus atroviridis,Dendrocalamus atroviridis,D.Z.Li & H.Q.Yang,species,Poaceae,Dendrocalamus,深绿牡竹
wcvp:520573,Decalepis khasiana,Decalepis khasiana,(Kurz) Ionta ex Kambale,species,Apocynaceae,Decalepis,须药藤
wcvp:520731,Herminium wangianum,Herminium wangianum,"X.H.Jin, Schuit., Raskoti & Lu Q.Huang",species,Orchidaceae,Herminium,蜀藏兜蕊兰
wcvp:520732,Herminium oxysepalum,Herminium oxysepalum,"(K.Y.Lang) X.H.Jin, Schuit., Raskoti & Lu Q.Huang",species,Orchidaceae,Herminium,尖萼兜蕊兰
wcvp:520733,Herminium latilabre,Herminium latilabre,"(Lindl.) X.H.Jin, Schuit., Raskoti & Lu Q.Huang",species,Orchidaceae,Herminium,白鹤参
wcvp:520735,Herminium humidicola,Herminium humidicola,"(K.Y.Lang & D.S.Deng) X.H.Jin, Schuit., Raskoti & Lu Q.Huang",species,Orchidaceae,Herminium,冷兰
wcvp:520737,Herminium handelii,Herminium handelii,"X.H.Jin, Schuit., Raskoti & Lu Q.Huang",species,Orchidaceae,Herminium,高山兰
wcvp:2645045,Aquilegia vulgaris,Aquilegia vulgaris,L.,species,Ranunculaceae,Aquilegia,无距耧斗菜
wcvp:520884,Gardenia reflexisepala,Gardenia reflexisepala,N.H.Xia & X.E.Ye,species,Rubiaceae,Gardenia,卷萼栀子
wcvp:520916,Gastrodia nantoensis,Gastrodia nantoensis,T.C.Hsu & C.M.Kuo ex T.P.Lin,species,Orchidaceae,Gastrodia,南投天麻
wcvp:521482,Mussaenda campanulata,Mussaenda campanulata,T.T.Duan & D.X.Zhang,species,Rubiaceae,Mussaenda,钟花玉叶金花
wcvp:521653,Oreorchis yachangensis,Oreorchis yachangensis,Z.B.Zhang & B.G.Huang,species,Orchidaceae,Oreorchis,雅长山兰
